Datetime,Actual,Prophet_Forecast,ETS_Forecast
2018-05-23 05:00:00,11391.0,11440.131279925765,11027.540714863422
2018-05-23 06:00:00,12015.0,12037.009571695002,11375.751644293361
2018-05-23 07:00:00,12792.0,12802.091305108099,12164.633884462251
2018-05-23 08:00:00,13560.0,13535.056777041296,12672.562492441502
2018-05-23 09:00:00,14064.0,14068.444893435084,12470.988629340374
2018-05-23 10:00:00,14470.0,14357.815816792972,12229.96466561085
2018-05-23 11:00:00,14873.0,14483.827068489276,11921.525791794433
2018-05-23 12:00:00,15294.0,14564.08045280138,11561.003848183223
2018-05-23 13:00:00,15682.0,14654.689193952965,11369.958049365201
2018-05-23 14:00:00,16170.0,14728.921002950863,11292.290741948917
2018-05-23 15:00:00,16464.0,14743.856964014518,11337.209399536645
2018-05-23 16:00:00,16697.0,14719.373602697626,11410.971327064894
2018-05-23 17:00:00,16906.0,14741.93024243372,11622.052684377624
2018-05-23 18:00:00,17028.0,14881.174274045445,11902.204777854708
2018-05-23 19:00:00,16803.0,15097.055237347253,12483.13795743571
2018-05-23 20:00:00,16344.0,15231.127446452916,13311.537626540417
2018-05-23 21:00:00,15838.0,15101.377178205648,13512.15319482446
2018-05-23 22:00:00,15647.0,14625.914915749465,13325.424288331034
2018-05-23 23:00:00,14551.0,13876.081353190591,12886.076492744865
2018-05-24 00:00:00,13121.0,13024.950127633947,12316.774819502149
2018-05-24 01:00:00,12210.0,12247.579396196816,11821.827845936634
2018-05-24 02:00:00,11579.0,11659.015540159951,11528.066163823989
2018-05-24 03:00:00,11285.0,11322.818154223613,11224.126323248029
2018-05-24 04:00:00,11112.0,11286.772012482958,11050.76025279379
2018-05-24 05:00:00,11278.0,11582.315929668723,11027.019923177193
2018-05-24 06:00:00,11839.0,12177.44003150919,11375.230852607132
2018-05-24 07:00:00,12680.0,12939.209098396197,12164.113092776022
2018-05-24 08:00:00,13486.0,13667.41883119386,12672.041700755273
2018-05-24 09:00:00,13862.0,14194.735465729975,12470.467837654145
2018-05-24 10:00:00,14468.0,14476.855100256294,12229.443873924622
2018-05-24 11:00:00,14910.0,14594.57642708485,11921.005000108204
2018-05-24 12:00:00,15355.0,14665.644288844262,11560.483056496993
2018-05-24 13:00:00,15994.0,14746.313503812027,11369.437257678972
2018-05-24 14:00:00,16566.0,14809.988728990902,11291.76995026269
2018-05-24 15:00:00,17041.0,14813.880300898994,11336.688607850418
2018-05-24 16:00:00,17283.0,14777.98346359109,11410.450535378666
2018-05-24 17:00:00,17598.0,14788.8631349287,11621.531892691397
2018-05-24 18:00:00,17614.0,14916.256876110383,11901.68398616848
2018-05-24 19:00:00,17542.0,15120.186999595491,12482.617165749483
2018-05-24 20:00:00,17174.0,15242.261578274334,13311.01683485419
2018-05-24 21:00:00,16555.0,15100.500401092284,13511.632403138232
2018-05-24 22:00:00,16257.0,14613.026387275138,13324.903496644807
2018-05-24 23:00:00,14941.0,13851.171179719027,12885.555701058638
2018-05-25 00:00:00,13672.0,12987.97789103275,12316.254027815921
2018-05-25 01:00:00,12651.0,12198.453122935674,11821.307054250407
2018-05-25 02:00:00,11908.0,11597.571535372208,11527.545372137762
2018-05-25 03:00:00,11371.0,11248.802113496109,11223.605531561801
2018-05-25 04:00:00,11240.0,11199.821806416168,11050.239461107563
2018-05-25 05:00:00,11264.0,11481.946434442776,11026.499131490966
2018-05-25 06:00:00,11884.0,12063.030349162347,11374.710060920905
2018-05-25 07:00:00,12567.0,12809.992477715898,12163.592301089795
2018-05-25 08:00:00,13364.0,13522.475561327185,12671.520909069046
2018-05-25 09:00:00,14104.0,14032.988971252404,12469.947045967918
2018-05-25 10:00:00,14890.0,14297.071421312437,12228.923082238394
2018-05-25 11:00:00,15543.0,14395.367217148001,11920.484208421976
2018-05-25 12:00:00,16257.0,14445.473411314193,11559.962264810765
2018-05-25 13:00:00,16991.0,14503.507254827173,11368.916465992745
2018-05-25 14:00:00,17663.0,14542.749658751643,11291.249158576462
2018-05-25 15:00:00,18083.0,14520.3045507326,11336.16781616419
2018-05-25 16:00:00,18377.0,14456.081481430909,11409.929743692439
2018-05-25 17:00:00,18658.0,14436.583578216332,11621.01110100517
2018-05-25 18:00:00,18520.0,14531.5134597041,11901.163194482253
2018-05-25 19:00:00,18114.0,14700.8879973748,12482.096374063256
2018-05-25 20:00:00,17589.0,14786.341641575196,13310.496043167963
2018-05-25 21:00:00,16774.0,14605.954315443441,13511.111611452005
2018-05-25 22:00:00,16455.0,14077.944352043854,13324.38270495858
2018-05-25 23:00:00,15352.0,13273.775163211245,12885.03490937241
2018-05-26 00:00:00,14005.0,12366.658587305457,12315.733236129694
2018-05-26 01:00:00,12868.0,11531.807016286653,11820.78626256418
2018-05-26 02:00:00,12080.0,10884.437564267877,11527.024580451534
2018-05-26 03:00:00,11690.0,10488.29741819407,11223.084739875574
2018-05-26 04:00:00,11323.0,10391.37604417586,11049.718669421336
2018-05-26 05:00:00,11200.0,10625.334151308905,11025.978339804738
2018-05-26 06:00:00,11247.0,11158.400911170294,11374.189269234677
2018-05-26 07:00:00,11249.0,11857.897083065545,12163.071509403568
2018-05-26 08:00:00,11737.0,12523.890881250072,12671.000117382819
2018-05-26 09:00:00,12696.0,12989.337000231711,12469.42625428169
2018-05-26 10:00:00,13573.0,13210.235154097749,12228.402290552167
